Date,Close/Last,Volume,Open,High,Low
10/17/2025,$178.15,43421490,$177.75,$181.59,$173.95
10/16/2025,$178.12,42870890,$181.78,$184.82,$176.45
10/15/2025,$179.62,37372130,$181.655,$184.35,$176.02
10/14/2025,$179.74,49261450,$176.00,$182.34,$170.82
10/13/2025,$177.21,41332440,$178.68,$179.22,$173.45
10/10/2025,$175.44,55194030,$185.17,$187.10,$173.53
10/09/2025,$185.47,45050250,$183.58,$187.62,$179.95
10/08/2025,$183.56,36299660,$182.80,$184.26,$181.20
10/07/2025,$182.17,58179260,$180.31,$186.18,$179.4201
10/06/2025,$179.53,52504240,$179.18,$182.95,$177.83
10/03/2025,$173.07,105533400,$186.40,$186.84,$170.77
10/02/2025,$187.05,39849210,$186.70,$188.20,$182.95
10/01/2025,$184.95,45717300,$181.32,$186.28,$179.50
09/30/2025,$182.42,43561730,$178.98,$182.77,$178.22
09/29/2025,$178.86,38413750,$179.64,$181.48,$177.16
09/26/2025,$177.57,44275790,$179.05,$180.12,$174.91
09/25/2025,$179.12,72321190,$175.80,$184.32,$174.29
09/24/2025,$179.56,45379670,$183.91,$184.85,$177.12
09/23/2025,$182.55,62354830,$182.51,$185.75,$177.01
09/22/2025,$179.33,45916680,$180.88,$182.25,$178.29
09/19/2025,$182.39,109129900,$177.07,$184.42,$176.71
09/18/2025,$176.97,70768630,$170.27,$178.80,$169.39
09/17/2025,$168.33,69255500,$169.02,$169.68,$161.27
09/16/2025,$170.26,34598660,$171.04,$171.31,$168.96
09/15/2025,$171.21,45396120,$169.60,$171.80,$167.41
09/12/2025,$171.43,54498540,$165.35,$171.53,$164.01
09/11/2025,$164.36,42025500,$167.24,$167.458,$163.22
09/10/2025,$166.74,62211420,$166.00,$169.00,$163.44
09/09/2025,$162.36,61359530,$157.25,$162.75,$156.37
09/08/2025,$156.10,47642950,$154.91,$158.30,$154.84
09/05/2025,$153.11,81855900,$157.82,$158.97,$148.04
09/04/2025,$156.14,53292340,$154.865,$157.04,$153.16
09/03/2025,$154.90,66052300,$158.00,$161.15,$152.71
09/02/2025,$157.09,65434970,$151.20,$158.39,$150.28
08/29/2025,$156.71,45270500,$156.98,$158.42,$153.00
08/28/2025,$158.12,57885240,$157.63,$158.23,$152.55
08/27/2025,$156.72,76380550,$162.32,$162.40,$155.9801
08/26/2025,$160.87,86573720,$155.39,$162.13,$154.57
08/25/2025,$157.17,86879820,$156.10,$158.59,$149.37
08/22/2025,$158.74,102099200,$155.315,$163.20,$151.77
08/21/2025,$156.18,94678640,$157.17,$157.97,$153.81
08/20/2025,$156.01,220336400,$152.30,$156.46,$142.34
08/19/2025,$157.75,137922700,$171.36,$172.30,$156.90
08/18/2025,$174.03,62656600,$175.27,$177.90,$171.39
08/15/2025,$177.17,60288740,$179.725,$180.00,$173.38
08/14/2025,$181.02,53472930,$182.41,$185.33,$179.20
08/13/2025,$184.37,53610030,$189.00,$189.46,$183.59
08/12/2025,$186.97,54983770,$184.70,$190.00,$182.10
08/11/2025,$182.68,56125630,$186.47,$187.18,$181.92
08/08/2025,$186.96,62657940,$184.735,$187.99,$184.41
08/07/2025,$182.20,77829180,$181.01,$184.48,$178.17
08/06/2025,$179.54,82924850,$171.175,$180.5813,$171.01
08/05/2025,$173.27,130917500,$171.81,$176.33,$169.2201
08/04/2025,$160.66,82993560,$158.53,$161.40,$157.9301
08/01/2025,$154.27,61286990,$155.05,$158.19,$151.0576
07/31/2025,$158.35,45342610,$159.99,$160.89,$156.73
07/30/2025,$158.61,40261680,$157.365,$159.38,$156.56
07/29/2025,$156.24,42427210,$158.715,$160.14,$154.91
07/28/2025,$157.88,63886940,$159.88,$160.2799,$153.04
07/25/2025,$158.80,57972340,$155.63,$160.39,$155.58
07/24/2025,$154.86,38925750,$153.98,$155.63,$152.575
07/23/2025,$154.63,48061990,$149.74,$155.00,$148.2871
07/22/2025,$149.07,49880760,$150.85,$151.7899,$145.062
07/21/2025,$151.79,45072810,$153.88,$155.44,$151.36
07/18/2025,$153.52,45771630,$154.86,$154.92,$151.90
07/17/2025,$153.99,60165520,$151.56,$155.68,$150.82
07/16/2025,$150.91,57636990,$149.30,$151.51,$147.6744
07/15/2025,$148.58,59126190,$148.93,$150.62,$147.3601
07/14/2025,$149.15,81774440,$142.72,$149.575,$142.22
07/11/2025,$142.10,52134810,$142.11,$144.58,$141.47
07/10/2025,$142.50,64383870,$143.31,$145.16,$139.53
07/09/2025,$143.13,68494760,$139.655,$143.17,$137.39
07/08/2025,$139.71,59834820,$138.775,$139.855,$135.79
07/07/2025,$139.12,71959710,$134.38,$139.29,$132.32
